hisab-demo-csv,v1
period,2026-07-01,2026-09-30
2026-07-01,8500000,credit,Acme Corp,NEFT070101,SALARY JUL 2026
2026-07-03,42000,debit,Swiggy,UPI726001,UPI-SWIGGY ORDER 8811
2026-07-08,129900,debit,Amazon,UPI726002,UPI-AMAZON PAY SHOPPING
2026-07-14,18500,debit,Blinkit,UPI726003,UPI-BLINKIT GROCERIES
2026-07-21,64900,debit,IRCTC,UPI726004,UPI-IRCTC TICKET BOOKING
2026-07-28,19900,debit,Netflix,UPI726005,UPI-NETFLIX SUBSCRIPTION
2026-07-30,1200000,debit,HDFC Home Loan,NACH070301,NACH HOME LOAN EMI
2026-08-01,8500000,credit,Acme Corp,NEFT080101,SALARY AUG 2026
2026-08-02,55400,debit,Zomato,UPI801001,UPI-ZOMATO ORDER 1231
2026-08-05,23000,debit,Blinkit,UPI801002,UPI-BLINKIT GROCERIES
2026-08-10,240000,debit,Flipkart,,FLIPKART CARD PAYMENT
2026-08-16,32000,debit,Uber,UPI801004,UPI-UBER TRIP
2026-08-23,19900,debit,Netflix,UPI801005,UPI-NETFLIX SUBSCRIPTION
2026-08-27,45600,debit,BigBasket,UPI801006,UPI-BIGBASKET MONTHLY
2026-08-29,500000,debit,ATM,ATM082901,ATM CASH WITHDRAWAL
2026-08-30,1200000,debit,HDFC Home Loan,NACH080301,NACH HOME LOAN EMI
2026-09-01,8500000,credit,Acme Corp,NEFT090101,SALARY SEP 2026
2026-09-01,38700,debit,Swiggy,UPI901001,UPI-SWIGGY ORDER 9902
2026-09-04,27500,debit,Zepto,UPI901002,UPI-ZEPTO GROCERIES
2026-09-07,89900,debit,Myntra,UPI901003,UPI-MYNTRA CLOTHING
2026-09-13,41000,debit,Rapido,,RAPIDO RIDES WEEKLY CARD
2026-09-18,19900,debit,Netflix,UPI901005,UPI-NETFLIX SUBSCRIPTION
2026-09-21,350000,debit,HPCL,HPCL092101,HPCL PETROL PUMP
2026-09-28,1200000,debit,HDFC Home Loan,NACH090301,NACH HOME LOAN EMI
